cluster_id,user_id,sport,eligibility_basis,reason_basis,affected_local_dates,keep_workout_id,keep_uuid,keep_source_bundle_id,remove_workout_ids,remove_uuids,remove_source_bundle_ids
cluster-0001,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,metadata_completeness,baseline_auto_cleanup_rule,"[""2018-06-22""]",489,ab190813-1b0c-46f1-95d0-074792d3ace1,com.strava.stravaride,[488],"[""1ee00c00-3334-412d-aef6-b8bb1624b267""]","[""com.strava.stravaride""]"
cluster-0002,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,lowest_id_tiebreaker,baseline_auto_cleanup_rule,"[""2019-11-30""]",827,0d0e998d-517f-4522-ae31-0900d4f967dd,com.strava.stravaride,[828],"[""5472ee21-501c-49cd-86c2-780667d406b0""]","[""com.strava.stravaride""]"
cluster-0010,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,source_precedence_policy,source_precedence_policy,"[""2020-10-29""]",1068,d35532ff-b25f-448a-9c05-01496d48a778,com.garmin.connect.mobile,[1069],"[""b96f9993-a58f-42f8-a164-8176f159b941""]","[""com.strava.stravaride""]"
cluster-0011,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,source_precedence_policy,source_precedence_policy,"[""2020-10-30""]",1072,85029818-af43-4043-bda7-bfa21b15e7e4,com.garmin.connect.mobile,[1073],"[""ec70e39e-cbf7-44aa-ace1-898355c95ee1""]","[""com.strava.stravaride""]"
cluster-0012,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,source_precedence_policy,source_precedence_policy,"[""2020-10-30""]",1074,7b06ee1d-bd28-4ea7-85a3-00a27612691f,com.garmin.connect.mobile,[1075],"[""89523358-cc75-418c-aa21-8e3398024acd""]","[""com.strava.stravaride""]"
cluster-0013,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,source_precedence_policy,source_precedence_policy,"[""2020-10-31""]",1076,37399fbd-5aae-4142-af82-c8fd2a91e645,com.garmin.connect.mobile,[1077],"[""14486b9d-53c5-48fb-b0f7-7cd7dc38ebd2""]","[""com.strava.stravaride""]"
cluster-0015,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,source_precedence_policy,source_precedence_policy,"[""2020-11-05""]",1082,2e531a17-a80d-452a-91dc-b58c90a54ffc,com.garmin.connect.mobile,[1083],"[""d557bcef-e377-4901-86e3-facf06e26232""]","[""com.strava.stravaride""]"
cluster-0016,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,source_precedence_policy,source_precedence_policy,"[""2020-11-10""]",1088,c42b2342-5ca1-4620-a91e-923dbd0b1ef8,com.garmin.connect.mobile,[1089],"[""2b2b5251-c2f0-4cc1-8750-5be5dfe6aeb3""]","[""com.strava.stravaride""]"
cluster-0017,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,source_precedence_policy,source_precedence_policy,"[""2020-11-12""]",1090,a0f6b037-61ff-4c7f-9e86-42dd38d1da8e,com.garmin.connect.mobile,[1091],"[""46ad9583-cbb5-41dc-b049-98659d0144de""]","[""com.strava.stravaride""]"
cluster-0018,c3a75670-7ea9-4ff3-b2b1-66472744fabd,bike,source_precedence_policy,source_precedence_policy,"[""2020-11-12""]",1092,a0031616-bd71-4c38-9803-dbf8004d3157,com.garmin.connect.mobile,[1093],"[""27f223e5-03cb-473c-a2c8-6e6c5403fcaa""]","[""com.strava.stravaride""]"
